listing_id,id,date,reviewer_id,reviewer_name,comments,language
250007,1111493831193194374,2024-03-13,511486270,Ashis,"Wunderschöne Wohnung mitten in der Stadt<br/>Jörg ist sehr nett und hilfsbereit. Die Wohnung ist gemütlich und schön eingerichtet und noch größer, als es auf den Photos erscheint. Das Bett war sehr bequem und schön groß; die Küche ist auch schön geräumig und gut ausgestattet mit allem, was man zum Kochen braucht. Nachts ist absolut Stille für einen ruhigen Schlaf. Sehr zentral gelegen im Viertel mit vielen Restaurants, Cafés und schönen Läden – die ganze Stadt ist leicht zu erreichen mit öffentlichen Verkehrsmitteln: zu Fuss sind zwei U-Bahn-Linien 10 Minuten entfernt; Nollendorfplatz und Eisenacher Strasse; zusätzlich  gibt es mehrere Busslinien in ummittelbarer Nähe. Ich hatte eine Sache vergessen in der Wohnung, und Jörg war so nett, sofort für mich zur Post zu gehen und es mir nach Italien zu schicken. Ich kann die Wohnung sehr empfehlen, und werde wiederkommen für meinen nächsten Berlin-Besuch.",de
250007,1115134472242862850,2024-03-18,41277128,Thomas,Tolle liebevoll gestaltete und individuell eingerichtete Wohnung in ruhiger hoflage.,de
408756,1094075575582092336,2024-02-18,50179630,Lilo,Es war sehr schön. Jederzeit wieder.,de
250704,1112962483911995014,2024-03-15,564909584,Alina,Es war ein super angenehmer Aufenthalt und die Kommunikation lief super schnell und unkompliziert. Vielen Dank!,de
250707,1088367479556514942,2024-02-10,295913399,Reinhard,"Die Komunikation war sehr gut, die Mithilfe von der U Bahn zur Wohnung zu kommen, sehr proaktiv. Wohnung war sejr gemütlich und sauber. Lage ist hervorragend. Sehr leicht zugänglich zu den öffentlichen Verkehrsmitteln und den Einkaufsmöglichkeiten.",de
250707,1101402365063591838,2024-02-28,152842401,Rita,Zum zweiten Mal sind wir in der FeWo. Die Anbindung an die U-Bahn und Busse ist ausgesprochen praktisch; Geschäfte sind vor der Tür auch das Schloß Charlottenburg ist zu Fuß erreichbar.<br/>Die FeWo ist zweckmäßig und geschmackvoll eingerichtet. Der Check-In klappte super. Wir sind rundum zufrieden und kommen gerne wieder.,de
425411,1089012823689245745,2024-02-11,209863045,Luisa,"Wir hatten einen wunderbaren Aufenthalt in Hans 1-Zimmer-Wohnung. Sehr sauber, perfekt gelegen und angebunden. Es gab alles, was wir benötigt haben. Die Kommunikation lief perfekt und die Instruktionen hinsichtlich Anreise und Eintritt ins Appartment waren eindeutig. Sehr hilfsbereit und schnell im Antworten!",de
425411,1104265352393242411,2024-03-03,44894177,Ingo,"Gute Kommunikation, sehr unkompliziert und gute Lage. Perfekt für einen Kurztrip.",de
250729,1093365248985937295,2024-02-17,552143078,Julia,"eine schöne Wohnung, für uns perfekt. Tolle Lage. Leider ist das Geschirr nicht richtig sauber. das liegt aber eher an den Gästen und nicht der Gastgeberin.",de
250753,1109382233979741646,2024-03-10,459539786,Merle,Erwartungen wurden erfüllt :),de
250871,1110059398891289174,2024-03-11,431260768,Celin,Ein kleines gemütliches Apartment mitten im Zentrum. Der Aufenthalt war gut und auch die Gastgeberin war sehr nett.,de
425487,1088301293706692167,2024-02-10,16871760,Bernd,Wohnung wie beschrieben. Sehr netter Kontakt mit schneller Rückantwort. Sehr gerne wieder.,de
251406,1099139217883361749,2024-02-25,46515670,Valerie,"Super schöne Wohnung in toller Lage, mitten in Berlin und dennoch ruhig! Man hat direkt eine ubahn Haltestelle neben der Tür und das meiste ist auch zu Fuß erreichbar. Die Wohnung ist schön geschnitten, sauber und toll ausgestattet. Für 2-3 leute perfekt! Wir kommen das nächste mal gerne wieder",de
432210,1078155084580926524,2024-01-27,89883185,Joël,"Wunderbare, grosse Wohnung mit viel Charme. Wir haben zudem sehr gut geschlafen und die Zeit da sehr genossen. Daniela ist sehr unkompliziert und freundlich im Umgang. Alles nur zu empfehlen!",de
176342,1062997608584503679,2024-01-06,525028292,Viola,"Die Wohnung ist wunderschön, es war alles unkompliziert und gut ausgestattet.",de
176355,1104204418897932689,2024-03-03,14835990,Inka,"Unser Aufenthalt in Ninos Wohnung hat uns sehr gefallen und wir haben uns richtig wohlgefühlt. Die Wohnung ist klasse. Die Lage und seine Tipps, was es rundherum so gibt, sind auch klasse. Die Vorabinformationen sind sehr hilfreich und der Check-in & Check-out wird dadurch einfach. <br/>Nino hat uns immer auf dem Laufenden gehalten und war für uns erreichbar. Rundherum empfehlenswert.",de
456902,1080323805436614294,2024-01-30,275105623,Oromiya,"Eine wunderschöne, liebevoll eingerichtete Unterkunft in bester Lage.",de
456902,1083962362839716074,2024-02-04,80468717,Melanie,Schönes Apartment mit guter Anbindung um Berlin zu erkunden. Wir haben uns sehr wohl gefühlt.,de
456902,1086822555984709395,2024-02-08,203712867,Maria,"Der Aufenthalt bei Stefan hätte nicht besser sein können. Die Kommunikation verlief prima, die Wohnung ist geräumig und gepflegt. Sie befindet sich in einem schönen Haus in ruhiger Umgebung. <br/>Innen war alles wie beschrieben, sehr sauber und so haben wir dort  herrliche Tage verbracht.",de
